iter	Passed	Remaining
328	6879	1484
329	6898	1463
330	6914	1441
331	6934	1420
332	6950	1398
333	6977	1378
334	7001	1358
335	7025	1338
336	7041	1316
337	7058	1294
338	7082	1274
339	7105	1253
340	7130	1233
341	7154	1213
342	7168	1191
343	7193	1170
344	7216	1150
345	7240	1130
346	7265	1109
347	7288	1089
348	7314	1068
349	7337	1048
350	7359	1027
351	7376	1005
352	7392	984
353	7416	963
354	7432	942
355	7454	921
356	7478	900
357	7493	879
358	7516	858
359	7531	836
360	7554	816
361	7578	795
362	7594	774
363	7618	753
364	7632	731
365	7657	711
366	7680	690
367	7706	670
368	7723	648
369	7738	627
370	7760	606
371	7782	585
372	7807	565
373	7822	543
374	7846	523
375	7868	502
376	7891	481
377	7914	460
378	7939	439
379	7963	419
380	7986	398
381	8006	377
382	8031	356
383	8055	335
384	8079	314
385	8101	293
386	8117	272
387	8136	251
388	8159	230
389	8175	209
390	8200	188
391	8219	167
392	8243	146
393	8267	125
394	8290	104
395	8315	83
396	8338	63
397	8354	41
398	8375	20
399	8399	0
