iter	MAE	RMSE
0	0.1216471923	0.1523643651
1	0.1117572558	0.1399684057
2	0.1029818056	0.1289608376
3	0.09525988416	0.1192478094
4	0.08843591101	0.1107111524
5	0.08236796586	0.1032290844
6	0.07702000779	0.09658934274
7	0.07237411461	0.09090397778
8	0.06823584682	0.08580753586
9	0.06461579028	0.08135759185
10	0.0615329926	0.07757952521
11	0.05889244897	0.07434281605
12	0.05661677445	0.0715818068
13	0.05466922772	0.06922721769
14	0.05303386539	0.06726621753
15	0.05162734264	0.06557621268
16	0.05047291194	0.06416944549
17	0.04949155712	0.06297624128
18	0.04866387398	0.06199384996
19	0.04795875893	0.0611604784
20	0.04738120236	0.06046866663
21	0.04690011285	0.05989335408
22	0.0464985221	0.05941110072
23	0.04615583484	0.05900777653
24	0.04588161355	0.05868170097
25	0.04563985359	0.05840080276
26	0.045443216	0.05816458435
27	0.04527584664	0.0579694811
28	0.04513408241	0.05780582693
29	0.04501989842	0.05767283763
30	0.04492321761	0.0575574142
31	0.04484414421	0.05745935739
32	0.04477683021	0.05737956172
33	0.0447138822	0.05731071372
34	0.04466225137	0.05725193636
35	0.04461351853	0.05719848175
36	0.04456929805	0.0571540046
37	0.04452205902	0.05710324955
38	0.04449179741	0.05706845677
39	0.04446042268	0.05703106619
40	0.0444370934	0.05700274286
41	0.04440720306	0.05697173166
42	0.04438641089	0.05695079913
43	0.04436817169	0.05693176671
44	0.04435134831	0.05691288851
45	0.04433331971	0.05689604074
46	0.0443089458	0.0568735429
47	0.04429310678	0.05685788986
48	0.0442820288	0.05684326696
49	0.04426806226	0.05683036961
50	0.04425733291	0.05681796242
51	0.04424622625	0.05680825929
52	0.04423777666	0.05679933863
53	0.04422070327	0.05678276252
54	0.04421352495	0.05677556685
55	0.04420649549	0.05676925643
56	0.04420062961	0.05676383776
57	0.04418815114	0.0567507644
58	0.04417502318	0.0567389416
59	0.04416378491	0.056730358
60	0.04415453346	0.05672180518
61	0.04415097397	0.05671600587
62	0.04414301366	0.05670883754
63	0.04413621513	0.05670154455
64	0.0441312629	0.05669685571
65	0.0441239193	0.05668979316
66	0.04412136216	0.0566861535
67	0.04411950485	0.05668293679
68	0.04411367971	0.05667621689
69	0.0441112144	0.05667385017
70	0.04410663849	0.0566690996
71	0.04410409031	0.05666536831
72	0.0441002399	0.0566619215
73	0.04409119704	0.05665546488
74	0.04408529827	0.05665013361
75	0.0440808729	0.05664605812
76	0.04407437805	0.05664047041
77	0.04407126833	0.05663664839
78	0.04406931466	0.05663383664
79	0.04406387615	0.05662822336
80	0.04406119317	0.05662506053
81	0.04405865491	0.05662285777
82	0.04405362409	0.05661791401
83	0.0440516614	0.05661463684
84	0.04404931071	0.05661180448
85	0.04404582242	0.05660809265
86	0.04404040175	0.05660293528
