iter	Logloss
312	0.3908548456
313	0.3905036277
314	0.3900532588
315	0.3896912179
316	0.3893912837
317	0.3891283962
318	0.3888684511
319	0.3886494704
320	0.3881747535
321	0.3878703558
322	0.3875563303
323	0.387178227
324	0.3868249761
325	0.3865970744
326	0.3861163499
327	0.3856828471
328	0.3853482938
329	0.3849439074
330	0.3846013436
331	0.3841516777
332	0.3838269897
333	0.3835840603
334	0.3834788332
335	0.3828874038
336	0.3827025625
337	0.3822702682
338	0.3820553534
339	0.3816947946
340	0.3815751977
341	0.3813393458
342	0.3812171129
343	0.3806155849
344	0.3804109722
345	0.3800715017
346	0.3798178557
347	0.3795956078
348	0.3793024691
349	0.3790492103
350	0.3789390092
351	0.3786449175
352	0.3782841256
353	0.3779201541
354	0.377683255
355	0.3770786237
356	0.3768588045
357	0.3767448507
358	0.3765323592
359	0.3762930391
360	0.3760608701
361	0.3759232068
362	0.3755910963
363	0.3750193149
364	0.374922317
365	0.3746036745
366	0.3743342457
367	0.3740323834
368	0.3739008067
369	0.373649367
370	0.3735079552
371	0.3732698388
372	0.3730329814
373	0.3726897906
374	0.3724733779
375	0.3721816313
376	0.3718734441
377	0.3716676694
378	0.3714004972
379	0.3712971983
380	0.3711110238
381	0.3707701153
382	0.3705513242
383	0.3702262024
384	0.3700379868
385	0.3697997896
386	0.369610523
387	0.3695018987
388	0.3692098876
389	0.3686052249
390	0.3683753347
391	0.3681371336
392	0.3677768755
393	0.3676669871
394	0.367493255
395	0.367214568
396	0.3669516542
397	0.366608308
398	0.3664597981
399	0.3662448901
400	0.3658593519
401	0.3655725881
402	0.3652871848
403	0.3651463306
404	0.3649860393
405	0.3648400078
406	0.3645958409
407	0.3645259353
408	0.364312675
409	0.3642077364
410	0.3640325364
411	0.3639005787
412	0.363590997
413	0.36336044
414	0.3631777056
415	0.363054583
416	0.3627404707
417	0.3625505332
418	0.3624441337
419	0.3623951535
420	0.3623272868
421	0.3622238995
422	0.361989082
423	0.3617817525
424	0.3612511463
425	0.3610324022
426	0.3608614305
427	0.3607085799
428	0.3605508147
429	0.3603426231
430	0.3601988254
431	0.3600909641
432	0.3600589938
433	0.3599206973
434	0.3598148008
435	0.3595214633
436	0.3593609056
437	0.3591605586
438	0.3589167997
439	0.3588130868
440	0.3587215668
441	0.3585365186
442	0.3583986198
443	0.3581402396
444	0.3579029918
445	0.3573588949
446	0.3572508838
447	0.3569734655
448	0.3567466018
449	0.3565855166
450	0.3562457271
451	0.3557969652
452	0.3553768241
453	0.3552289899
454	0.3550634525
455	0.3548927103
456	0.3547696646
457	0.3547262883
458	0.3546211286
459	0.3545205163
460	0.3544754399
461	0.3543771474
462	0.3542445206
463	0.3540553982
464	0.3535537063
465	0.3532385121
466	0.3530453365
467	0.3528271241
468	0.3525459315
469	0.3522107924
470	0.3521486775
471	0.3519787944
472	0.3517441688
473	0.3515121843
474	0.351405192
475	0.3511198771
476	0.3509643219
477	0.3507276514
478	0.3506220074
479	0.350374158
480	0.3503374543
481	0.3500237988
482	0.3498781854
483	0.3497168291
484	0.3495146248
485	0.3492932854
486	0.3490660207
487	0.3488737462
488	0.3486711869
489	0.3485229738
490	0.348367699
491	0.347928949
492	0.3478435715
493	0.3476732301
494	0.3474805908
495	0.3473814685
496	0.3472227452
497	0.3468733093
498	0.3467453962
499	0.3464972587
500	0.3463869961
501	0.3463332198
502	0.3462522052
503	0.3459265488
504	0.3456738646
505	0.3455519561
506	0.3453126979
507	0.345143854
508	0.3449730007
509	0.3447673651
510	0.3446242083
511	0.3444569566
512	0.3442952554
513	0.3441592966
514	0.3439296523
515	0.3438463247
516	0.3437434202
517	0.3435010348
518	0.343265178
519	0.3431847763
520	0.3430121021
521	0.3429053528
522	0.3428077787
523	0.3426094239
524	0.3423057485
525	0.3420763747
526	0.3418618888
527	0.3417760039
528	0.3415615312
529	0.34145031
530	0.341334808
531	0.341228191
532	0.3409669263
