iter	Logloss
0	0.6790002802
1	0.6676347556
2	0.6576295606
3	0.6474830141
4	0.6419856583
5	0.6324754245
6	0.6251100576
7	0.6196171992
8	0.6141638358
9	0.6031947198
10	0.5968022971
11	0.59320786
12	0.589555867
13	0.5822783886
14	0.5766096279
15	0.5722948394
16	0.5673100777
17	0.5656654188
18	0.5604764849
19	0.5568530858
20	0.5514087169
21	0.5498361452
22	0.5463476307
23	0.5444701131
24	0.5410783485
25	0.5371356568
26	0.5331819147
27	0.5318889254
28	0.5302118187
29	0.5291046478
30	0.525626505
31	0.5236465711
32	0.5213889208
33	0.5179753055
34	0.5155234257
35	0.5129318104
36	0.5112568001
37	0.5089579766
38	0.50624971
39	0.5046104625
40	0.5034048207
41	0.5010014375
42	0.4986392944
43	0.4951678324
44	0.4930928776
45	0.4909252111
46	0.4906365063
47	0.4893784494
48	0.488474685
49	0.4873764573
50	0.484480066
51	0.4830895238
52	0.4820751733
53	0.4816743294
54	0.4813772461
55	0.4810488494
56	0.4803008424
57	0.4800056554
58	0.4791631365
59	0.4772171355
60	0.476285644
61	0.4762664404
62	0.4760576305
63	0.4756497185
64	0.4751967487
65	0.4741573584
66	0.4729350026
67	0.4720337613
68	0.471080179
69	0.4706797375
70	0.4697826508
71	0.469344569
72	0.4684119019
73	0.4681856094
74	0.4679451652
75	0.4673035425
76	0.4658322045
77	0.4654106628
78	0.4641349073
79	0.4640569748
80	0.463188457
81	0.4626737622
82	0.4622601916
83	0.4602047123
84	0.4592799449
85	0.4587315048
86	0.4582454437
87	0.4569518598
88	0.4563172469
89	0.4557851178
90	0.4550697197
91	0.4546266184
92	0.4537509574
93	0.4527503111
94	0.4519753549
95	0.4508446362
96	0.4508446348
97	0.4505863524
98	0.4505863074
99	0.4501878309
100	0.450187815
101	0.4493074819
102	0.4483133948
103	0.4470947211
104	0.4467414437
105	0.4460307607
106	0.4460117047
107	0.445964379
108	0.4459643004
109	0.4458019261
110	0.4457730315
111	0.4457145081
112	0.4452426777
113	0.445223469
114	0.4450089172
115	0.4445354033
116	0.4439010764
117	0.4435449236
118	0.4434348932
119	0.4431845002
120	0.4431789776
121	0.4429575725
122	0.4422252701
123	0.4415809285
124	0.4413483779
125	0.4412128419
126	0.440747478
127	0.4407474768
128	0.4407226961
129	0.4406719363
130	0.4405511561
131	0.4403316204
132	0.4398905001
133	0.4397186602
134	0.4395526641
135	0.4389171376
136	0.4389171227
137	0.4387907461
138	0.4385287786
139	0.4385041533
140	0.4377988195
141	0.4377988069
142	0.437180962
143	0.436724952
144	0.4367249121
145	0.4365670083
146	0.4360455344
147	0.4357021584
148	0.4349627622
149	0.434576518
150	0.4344234111
151	0.4339262428
152	0.4337716277
153	0.4336759667
154	0.4328385781
155	0.4327545519
156	0.4325793265
157	0.4321066018
158	0.4320217756
159	0.4312032518
160	0.43119691
161	0.4307929131
162	0.430296441
163	0.4302964391
164	0.4302964388
165	0.4301771527
166	0.4301766348
167	0.4300264847
168	0.4299369007
169	0.4295650731
170	0.4292645623
171	0.4291070168
172	0.4290082377
173	0.4290082376
174	0.429000578
175	0.4288035442
176	0.4288035396
177	0.4285891713
178	0.4283016294
179	0.4279363757
180	0.4276024631
181	0.4275286242
182	0.4274066428
183	0.4269179444
184	0.4265559171
185	0.4264705102
186	0.4262388248
187	0.4258476314
188	0.4256371793
189	0.4254203033
190	0.4251299896
191	0.4248323042
192	0.4247537858
193	0.4246403803
194	0.4243740361
195	0.4241753425
196	0.4237254834
197	0.4234011517
198	0.4225940713
199	0.4224573196
200	0.4222670849
201	0.4222649943
202	0.4218104845
203	0.4216450967
204	0.4211221378
205	0.4210232376
206	0.4208043924
207	0.4206513857
208	0.4205175848
209	0.4203796412
210	0.4201469401
211	0.4201418685
212	0.4199910742
213	0.4199910664
214	0.4198139155
215	0.4193055042
216	0.4188434423
217	0.4187882553
218	0.4184370373
219	0.4184344173
220	0.4182286654
221	0.4177706067
222	0.4174156845
223	0.4172082128
224	0.4170637109
225	0.416822378
226	0.416504661
227	0.4164397343
228	0.4161859555
229	0.4158452828
230	0.415749768
231	0.4155548305
232	0.4150550027
233	0.4150549901
234	0.414994042
235	0.4149783522
236	0.4147879009
237	0.4146484746
238	0.4145890642
239	0.4140471093
240	0.4138948861
241	0.4137330795
242	0.413621733
243	0.4136217121
244	0.4135072476
245	0.4132457115
246	0.4126845328
247	0.4122027797
248	0.4120581181
249	0.4116835613
250	0.4111529017
251	0.4111528975
252	0.4106526066
253	0.4104333796
254	0.4102071449
255	0.4100702655
256	0.409855663
257	0.409618795
258	0.4095282244
259	0.4091156207
260	0.4087322114
261	0.4083419983
262	0.4079641072
263	0.4077349009
264	0.4074735688
265	0.4070912604
266	0.4070762072
267	0.4069600256
268	0.4065984014
269	0.4065281195
270	0.4060205972
271	0.4056601033
272	0.4051547309
273	0.404905204
274	0.4041353078
275	0.4039469013
276	0.4035641687
277	0.4033264685
278	0.4027343824
279	0.4024061468
280	0.4022120118
281	0.4018450807
282	0.4016142018
283	0.4012455653
284	0.4011883613
285	0.4009484429
286	0.4005793196
287	0.4001951091
288	0.3996749885
289	0.3992520774
290	0.3986263608
291	0.3982968452
292	0.3979506423
293	0.3976407105
294	0.397238152
295	0.3969764693
296	0.3964083245
297	0.3960974416
298	0.3957984873
299	0.395544787
300	0.3951466494
301	0.3947566334
302	0.3942471453
303	0.3939706201
304	0.3936330313
305	0.3935798684
306	0.393242483
307	0.3929471839
308	0.3924508847
309	0.3920469801
310	0.3914338034
311	0.3911895156
