iter	Passed	Remaining
133	2874	8558
134	2893	8530
135	2910	8497
136	2917	8431
137	2928	8383
138	2958	8386
139	2998	8418
140	3030	8426
141	3038	8366
142	3083	8410
143	3117	8422
144	3129	8373
145	3159	8375
146	3200	8403
147	3238	8424
148	3269	8426
149	3308	8447
150	3340	8450
151	3372	8453
152	3397	8439
153	3421	8419
154	3455	8427
155	3467	8380
156	3500	8384
157	3537	8396
158	3561	8376
159	3597	8385
160	3608	8337
161	3640	8337
162	3682	8359
163	3691	8305
164	3697	8245
165	3709	8201
166	3720	8153
167	3751	8149
168	3768	8115
169	3801	8117
170	3869	8191
171	3898	8181
172	3933	8184
173	3962	8174
174	3975	8132
175	4035	8186
176	4043	8133
177	4070	8118
178	4105	8118
179	4139	8117
180	4170	8110
181	4191	8082
182	4200	8034
183	4215	7996
184	4244	7983
185	4259	7946
186	4287	7932
187	4315	7918
188	4337	7894
189	4359	7870
190	4390	7860
191	4418	7846
192	4438	7818
193	4462	7797
194	4501	7802
195	4531	7791
196	4562	7782
197	4592	7769
198	4622	7757
199	4638	7723
200	4656	7690
201	4672	7656
202	4696	7634
203	4716	7607
204	4745	7592
205	4763	7561
206	4786	7538
207	4815	7523
208	4833	7493
209	4863	7480
210	4884	7454
211	4898	7417
212	4927	7403
213	4934	7355
214	4959	7335
215	4992	7326
216	5025	7318
217	5044	7289
218	5073	7274
219	5093	7246
220	5119	7228
221	5151	7217
222	5178	7198
223	5205	7180
224	5233	7164
225	5267	7155
226	5290	7131
227	5301	7092
228	5322	7065
229	5337	7031
230	5351	6996
231	5380	6980
232	5408	6963
233	5414	6919
234	5422	6876
235	5432	6836
236	5444	6799
237	5464	6772
238	5475	6735
239	5510	6727
240	5546	6720
241	5569	6697
242	5594	6676
243	5601	6635
244	5624	6612
245	5652	6594
246	5682	6580
247	5705	6556
248	5729	6534
249	5752	6512
250	5775	6488
251	5781	6447
252	5805	6425
253	5829	6402
254	5855	6384
255	5879	6361
256	5903	6340
257	5927	6318
258	5943	6287
259	5966	6264
260	5991	6243
261	6012	6219
262	6036	6196
263	6060	6175
264	6084	6153
265	6106	6129
266	6115	6092
267	6124	6056
268	6143	6029
269	6164	6005
270	6193	5987
271	6218	5967
272	6242	5945
273	6269	5926
274	6297	5908
275	6322	5887
276	6350	5868
277	6373	5846
278	6402	5828
279	6429	5809
280	6462	5795
281	6489	5776
282	6519	5758
283	6550	5743
284	6559	5707
285	6586	5688
286	6617	5672
287	6650	5657
288	6697	5654
289	6760	5664
290	6798	5653
291	6833	5640
292	6865	5624
293	6904	5612
294	6936	5596
295	6972	5582
296	7000	5562
297	7026	5541
298	7052	5519
299	7081	5500
300	7109	5479
301	7140	5461
302	7169	5442
303	7196	5420
304	7225	5401
305	7236	5368
306	7267	5349
307	7303	5335
308	7340	5321
309	7377	5306
310	7420	5296
311	7462	5285
312	7496	5269
313	7534	5254
314	7594	5256
315	7649	5253
316	7689	5239
317	7729	5226
318	7766	5209
319	7801	5192
320	7833	5173
321	7872	5158
322	7916	5146
323	7965	5138
324	8009	5126
325	8054	5114
326	8096	5100
327	8144	5090
328	8189	5077
329	8238	5068
330	8295	5062
331	8341	5050
332	8373	5029
333	8415	5014
334	8460	5000
335	8497	4982
336	8532	4962
337	8569	4943
338	8605	4924
339	8644	4906
340	8679	4886
341	8720	4869
342	8756	4850
343	8796	4833
344	8838	4816
345	8887	4803
346	8929	4786
347	8970	4768
348	9009	4750
349	9042	4727
350	9072	4704
351	9103	4681
352	9135	4658
353	9170	4636
354	9200	4613
355	9229	4588
356	9262	4566
357	9300	4546
358	9333	4523
359	9370	4503
360	9402	4479
361	9432	4455
362	9461	4430
363	9491	4406
364	9518	4381
365	9551	4358
366	9581	4333
367	9617	4312
368	9645	4286
369	9677	4263
370	9704	4237
371	9747	4218
372	9777	4194
373	9808	4170
374	9836	4144
375	9864	4119
376	9895	4094
377	9936	4074
378	9979	4054
379	10019	4034
380	10067	4016
381	10110	3996
382	10154	3976
383	10200	3958
384	10264	3945
385	10307	3925
386	10356	3907
387	10412	3891
388	10459	3871
389	10513	3855
390	10559	3834
391	10599	3812
392	10661	3797
393	10699	3774
394	10740	3752
395	10777	3728
396	10817	3705
397	10854	3681
398	10890	3657
399	10929	3633
400	10960	3607
401	10989	3581
402	11022	3555
403	11052	3529
404	11078	3501
405	11113	3476
406	11154	3453
407	11199	3431
408	11232	3405
409	11264	3379
410	11294	3352
411	11322	3325
412	11347	3297
413	11386	3272
414	11439	3252
415	11481	3229
416	11518	3204
417	11549	3177
418	11587	3152
419	11621	3126
420	11658	3101
421	11701	3077
422	11747	3054
423	11787	3030
424	11824	3004
425	11859	2978
426	11896	2953
427	11947	2930
428	11982	2904
429	12021	2879
430	12064	2855
431	12112	2831
432	12152	2806
433	12207	2784
434	12240	2757
435	12272	2730
436	12312	2704
437	12340	2676
438	12367	2648
439	12398	2620
440	12445	2596
441	12486	2570
442	12526	2544
443	12563	2518
444	12604	2492
445	12645	2466
446	12690	2441
447	12735	2416
448	12785	2391
449	12844	2369
450	12893	2344
451	12938	2318
452	13004	2296
453	13049	2270
454	13108	2247
455	13153	2221
456	13248	2203
457	13292	2176
458	13335	2149
459	13391	2125
460	13435	2098
461	13496	2074
462	13546	2048
463	13602	2022
464	13637	1994
465	13678	1966
466	13719	1938
467	13762	1911
468	13835	1888
469	13870	1859
470	13906	1830
471	13942	1801
472	13979	1773
473	14016	1744
474	14064	1717
475	14106	1689
476	14160	1662
477	14241	1638
478	14286	1610
479	14334	1582
480	14388	1555
481	14424	1526
482	14468	1497
483	14507	1468
484	14544	1439
485	14581	1410
486	14623	1381
487	14658	1351
488	14704	1323
489	14743	1293
490	14782	1264
491	14823	1235
492	14858	1205
493	14906	1176
494	14949	1147
495	14996	1118
496	15033	1088
497	15074	1059
498	15109	1029
499	15144	999
500	15179	969
501	15213	939
502	15253	909
503	15287	879
504	15323	849
505	15355	819
506	15402	789
507	15456	760
508	15487	730
509	15518	699
510	15558	669
511	15593	639
512	15623	609
513	15656	578
514	15689	548
515	15743	518
516	15773	488
517	15801	457
518	15839	427
519	15876	396
520	15907	366
521	15936	335
522	15965	305
523	15994	274
524	16022	244
525	16052	213
526	16085	183
527	16124	152
528	16173	122
529	16200	91
530	16235	61
531	16260	30
532	16288	0
